id,GPStime,centralFreq,peakFreq,snr,ifo,bandwidth,duration
HH9ABflByx,1129516527.519,364.822,225.349,35.919,L1,665.643311,0.25
oTXUV2ynKq,1135647394.988,3609.954,38.027,2743.555,H1,7209.994629,13.69
jQwe6arh9F,1129801698.464,1838.466,2025.31,16.698,H1,3612.932861,0.375
g8bOTBroX2,1131774280.366,2067.878,111.128,12.727,H1,4067.436523,0.105
7KAvyGygKM,1130969087.406,3978.111,131.921,10.926,L1,7795.106934,2.304
KJXiJjU9R5,1128233041.563,809.473,99.067,203.265,H1,1554.946655,1.813
CzsPmzOpj5,1133965305.205,824.968,324.754,61.062,L1,1594.804199,0.375
5lL68EymOk,1127496023.494,555.868,111.062,7.637,H1,992.661682,0.078
nixwMiMCu1,1133069534.294,294.661,137.711,27.163,L1,521.001648,0.313
p6Vz6tLUSB,1127725266.589,247.28,149.414,27.835,H1,430.560944,0.219
iH9g1mcRF7,1135742897.234,3127.799,10.501,10.166,L1,6243.312012,2
fbs7YOtWGN,1127253690.544,1809.965,339.876,144.167,H1,3555.930908,3.75
3FcGoZua0h,1128670702.989,1551.772,121.663,15.634,L1,3039.544189,0.164
EIJCVG0kEI,1129307347.13,1972.764,149.414,3387.058,H1,3881.52832,5.77
GOTNxZ2fSr,1132225394.884,201.924,137.711,12.937,H1,319.184143,0.055
YU3iEjH75G,1131174782.594,3005.88,83.006,7.585,L1,5850.64502,1.25
NZUUocXJXY,1128896117.226,543.928,183.495,46.851,H1,1016.542175,0.313
Uo1TnuQ2KM,1129374908.639,1800.705,940.284,8.34,L1,3471.313721,0.894
0xZGQHStES,1128421574.73,219.675,134.965,8.147,L1,187.67337,0.039
kUq35aHsZJ,1129316766.881,218.664,190.779,8.09,H1,176.05957,0.246
3eWwicd16b,1126814018.385,1748.486,80.667,78.789,H1,3432.9729,1.125
qU8GHCsHWN,1135040008.313,475.478,22.287,14.589,H1,909.754578,1.75
2OS69pGExE,1133379815.938,64.973,64.915,7.763,L1,4.36192,0.625
2ElJBR2wbV,1134008907.77,665.719,211.477,61.363,H1,1286.948853,0.563
iuW1PJ3kHB,1128421662.723,206.665,134.965,8.112,L1,178.921906,0.031
Zzk5h6IP1A,1131473828.563,4005.322,64.915,11.383,L1,7890.322266,1.063
tXRfJTud4y,1129729186.641,1237.046,60.799,15.797,H1,2377.56665,0.875
x6TpjfsGOM,1127093769.416,364.822,65.684,100.766,H1,665.643311,1.625
IwZrYzVNpy,1136386447.938,3979.047,11.139,40.783,L1,7942.870605,3.978
hlunHBfiNn,1131054421.757,3002.036,111.128,63.519,H1,5989.04541,1.426
QmppwHJrf1,1130005858.133,2885.44,13.013,13.563,L1,5758.594727,4
qwljmDTJlq,1134922277.844,2480.617,102.199,7.934,L1,4790.503418,0.563
OFpetH6sLO,1134462722.422,14.194,10.501,15.233,L1,16.1022,2.25
7YLN4PilDA,1133905427.375,2818.908,11.127,12.625,L1,5622.592285,3.057
e5V0Er0bZf,1137087413.969,3026.259,15.513,14.643,H1,6033.651367,3
qJxhlVpvVi,1131187980.938,63.657,64.915,8.024,L1,6.99351,0.625
U4oc3a52sG,1130895099.425,361.062,211.477,17.474,H1,653.803711,0.125
7derEpwLIL,1137221770.561,3619.802,1527.022,10.829,L1,4289.871582,0.158
48rBO4mF8F,1128261299.712,1741.05,512.608,25.111,H1,3403.502197,0.37
05MqkKY6Rk,1136957532.839,675.763,137.711,27.799,H1,1266.861816,0.438
xLTpUOJiWY,1127293527.233,1322.492,99.067,208.361,H1,2580.983154,1.5
roMpfkFwHS,1132156756.174,131.491,72.366,14.593,H1,207.849594,0.313
kFHZdqsT17,1131412127.82,3829.704,16.125,629.962,H1,7651.407715,22.75
GU3gBRXQi8,1132146836.335,1850.676,324.754,102.689,H1,3682.485596,2
KRGdrLQ4Uq,1128099088.136,207.974,121.663,9.401,H1,337.349854,0.031
7dacV5UbzJ,1135756703.479,143.937,89.676,10.519,H1,182.957504,0.094
5YSKbaBCsv,1132783316.822,3879.719,72.366,204.35,H1,7736.058594,2.422
GbmNW19uhN,1136288070.387,3004.737,865.9,8.229,L1,5629.530273,0.647
iouAX4q88Y,1133453027.507,213.261,137.711,11.106,H1,296.509125,0.047
OerXDbOthj,1136511782.943,3742.109,89.676,18.342,H1,7468.993164,3
z853jaW44A,1128016227.757,662.101,149.414,31.392,H1,1260.20105,0.281
OgDZcudReY,1133334474.104,176.984,111.128,12.1,H1,269.304504,0.063
6GIP8t1p0z,1128495014.652,1138.148,43.551,72.366,L1,2212.295654,1.375
uSndI4Mxmy,1128560708.5,687.509,339.876,14.226,L1,1311.017822,0.188
RG2ap8sHEi,1128404132.449,144.642,120.558,8.554,L1,155.97995,0.031
dX13JPhktz,1136285711.938,3979.047,10.416,22.172,L1,7942.870605,8
pv82kgtJSo,1132161022.723,1917.669,262.065,217.768,H1,3816.472656,2.875
S2ZoXlVWan,1129118905.23,2145.089,534.626,18.246,L1,3536.879395,0.469
FFLXlglASW,1135926658.412,303.81,211.477,12.104,H1,502.703705,0.039
R2S3zyczYM,1131470024.625,3202.352,29.337,11.586,L1,6368.80127,1.844
