id,GPStime,centralFreq,peakFreq,snr,ifo,bandwidth,duration
YVnrMXRcUP,1132260729.84,2960.81,38.027,63.4,H1,5902.753418,2
qD8uxo1Jeu,1132725238.507,1119.993,324.754,11.789,H1,2135.070557,0.07
Z5grpD4TOG,1128421606.355,236.863,134.965,8,L1,211.306503,0.047
4TskgvMLa2,1132885869.673,1905.332,137.711,14.362,H1,3742.343506,0.125
ZMEZmAs4gO,1132755312.856,1119.433,170.654,9.087,H1,2174.645996,0.23
9GBIUUjgZl,1134014965.281,2411.479,10.88,23.746,L1,4810.672363,1.75
xWVKeJoM00,1133139100.116,352.957,137.711,110.611,H1,670.013184,1.5
lVel5ZFeo7,1133195175.267,232.973,137.711,22.669,H1,430.044647,0.5
8csWRkVAdm,1136799065.781,131.169,129.45,7.536,L1,4.65917,0.75
jpIGx2mIqs,1134636724.375,2959.164,10.362,36.287,L1,5906.043457,6.75
hiFqWQVn5g,1132644423.402,4424.746,1046.149,11.857,L1,7051.473633,0.645
VJQT8VNkQj,1135333677.813,2399.434,11.139,8.183,H1,4780.712891,3.25
10XWucXqN5,1129719539.815,300.035,121.663,14.763,L1,536.069153,0.188
CqfSs5I04j,1127007485.774,177.478,99.067,13.012,H1,258.43045,0.094
EzlaTKFAg3,1128388972.105,186.775,134.965,7.798,L1,125.532547,0.055
7oYpXfxz3V,1126595214.113,1972.764,225.349,924.024,H1,3881.52832,5.875
ZRBcq5DuGW,1130941353.328,61.445,59.708,15.511,H1,38.22551,1.25
VMFKye1Co9,1127326450.507,1613.772,183.495,307.559,H1,3163.544189,1.625
El4ErjloMU,1133008316.427,303.81,262.065,11.603,H1,502.703705,0.047
7XZbPwSpC2,1132126154.159,3981.086,111.128,281.79,L1,7938.793457,2.637
Wvy39iUgpo,1132224307.775,191.88,89.676,14.412,H1,339.271149,0.25
QxN8tDOTrS,1127167891.266,62.156,60.799,13.194,H1,27.78573,0.625
IbJfxlp7Kg,1132552484.875,3697.979,18.113,453.564,L1,7387.958496,9
tYKlS2KyrW,1135118752.375,1324.697,10.179,16.332,L1,2635.286133,3.35
COLQfWR1NV,1133143418.808,440.05,211.477,29.686,H1,824.968018,0.219
jWcxPi19ME,1128421871.332,182.187,134.965,9.996,L1,227.876022,0.047
Snqy9wknOU,1128633054.224,368.471,149.414,57.126,H1,658.344238,0.344
b1w4OftZvn,1132628782.682,4460.082,1810.334,14.013,L1,6301.775879,0.538
wFvsoT4Cvu,1133682231.97,663.572,111.128,44.423,H1,1291.24292,0.75
djV1ZgWm6B,1130088075.172,71.08,59.708,14.45,H1,57.495892,0.875
qxO9diw1h9,1133874202.129,70.829,47.124,13.017,L1,105.757057,0.75
t0XCPjQqNR,1128397780.731,444.386,121.663,69.947,H1,824.772766,0.75
uQiUCgOWOJ,1132319182.603,206.987,137.711,10.514,H1,309.057831,0.078
TVSnYhS2YP,1132158485.727,2484.819,13.013,16.178,L1,4957.352051,2.25
